mouse_genes	HGNC.symbol
B3gnt7	B3GNT7
B3gnt8	B3GNT8
B3gnt9	B3GNT9
B3gntl1	B3GNTL1
B4galnt1	B4GALNT1
B4galnt4	B4GALNT4
B4galt1	B4GALT1
B4galt2	B4GALT2
B4galt3	B4GALT3
B4galt4	B4GALT4
B4galt5	B4GALT5
B4galt6	B4GALT6
B4galt7	B4GALT7
B4gat1	B4GAT1
B9d1	B9D1
B9d2	B9D2
Babam1	BABAM1
Bace1	BACE1
Bace2	BACE2
Bach1	BACH1
Bach2	BACH2
Bad	BAD
Bag1	BAG1
Bag2	BAG2
Bag3	BAG3
Bag4	BAG4
Bag5	BAG5
Bag6	BAG6
Bahcc1	BAHCC1
Bahd1	BAHD1
Baiap2	BAIAP2
Baiap2l2	BAIAP2L2
Baiap3	BAIAP3
Bak1	BAK1
Bambi	BAMBI
Banf1	BANF1
Bank1	BANK1
Banp	BANP
Bap1	BAP1
Bard1	BARD1
Basp1	BASP1
Batf	BATF
Batf2	BATF2
Batf3	BATF3
Bax	BAX
Baz1a	BAZ1A
Baz1b	BAZ1B
Baz2a	BAZ2A
Baz2b	BAZ2B
Bbof1	BBOF1
Bbs1	BBS1
Bbs10	BBS10
Bbs12	BBS12
Bbs2	BBS2
Bbs4	BBS4
Bbs5	BBS5
Bbs7	BBS7
Bbs9	BBS9
Bbx	BBX
BC003965	C16orf91
BC004004	C6orf89
BC005537	C6orf62
BC005561	THOC2
BC005624	C9orf78
BC016579	C3orf52
BC017158	C16orf58
BC024978	C19orf54
BC025920	ZNF77
BC028528	C1orf54
BC030867	C17orf53
BC031181	C18orf32
BC048403	C12orf66
BC049352	SMIM35
BC049715	C12orf60
BC051142	TSBP1
BC052040	C15orf41
BC055324	C1orf112
Bcam	BCAM
Bcap29	BCAP29
Bcap31	BCAP31
Bcar3	BCAR3
Bcas1	BCAS1
Bcas2	BCAS2
Bcas3	BCAS3
Bcat1	BCAT1
Bcat2	BCAT2
Bccip	BCCIP
Bcdin3d	BCDIN3D
Bckdha	BCKDHA
Bckdhb	BCKDHB
Bckdk	BCKDK
Bcl10	BCL10
Bcl11a	BCL11A
Bcl11b	BCL11B
Bcl2	BCL2
Bcl2a1a	BCL2A1
Bcl2a1b	BCL2A1
Bcl2a1d	BCL2A1
Bcl2l1	BCL2L1
Bcl2l11	BCL2L11
Bcl2l12	BCL2L12
Bcl2l13	BCL2L13
Bcl2l14	BCL2L14
Bcl2l15	BCL2L15
Bcl2l2	BCL2L2
Bcl3	BCL3
Bcl6	BCL6
Bcl6b	BCL6B
Bcl7a	BCL7A
Bcl7b	BCL7B
Bcl7c	BCL7C
Bcl9	BCL9
Bcl9l	BCL9L
Bclaf1	BCLAF1
Bco1	BCO1
Bco2	BCO2
Bcor	BCOR
Bcorl1	BCORL1
Bcr	BCR
Bcs1l	BCS1L
Bdh1	BDH1
Bdh2	BDH2
Bdp1	BDP1
Becn1	BECN1
Begain	BEGAIN
Bend3	BEND3
Bend4	BEND4
Bend5	BEND5
Best1	BEST1
Bet1l	BET1L
Bex1	BEX1
Bex1	BEX2
Bex2	BEX2
Bex2	BEX1
Bex3	BEX3
Bex4	BEX4
Bex6	BEX4
Bfar	BFAR
Bfsp2	BFSP2
Bgn	BGN
Bhlha15	BHLHA15
Bhlhb9	BHLHB9
Bhlhe40	BHLHE40
Bhlhe41	BHLHE41
Bicd1	BICD1
Bicd2	BICD2
Bicdl1	BICDL1
Bid	BID
Bik	BIK
Bin1	BIN1
Bin2	BIN2
Bin3	BIN3
Birc2	BIRC2
Birc3	BIRC3
Birc5	BIRC5
Birc6	BIRC6
Bivm	BIVM
Blcap	BLCAP
Blk	BLK
Blm	BLM
Blmh	BLMH
Blnk	BLNK
Bloc1s1	BLOC1S1
Bloc1s2	BLOC1S2
Bloc1s3	BLOC1S3
Bloc1s4	BLOC1S4
Bloc1s5	BLOC1S5-TXNDC5
Bloc1s5	BLOC1S5
Bloc1s6	BLOC1S6
Blvra	BLVRA
Blvrb	BLVRB
Blzf1	BLZF1
Bmf	BMF
Bmi1	COMMD3-BMI1
Bmi1	BMI1
Bmp1	BMP1
Bmp2k	BMP2K
Bmp7	BMP7
Bmpr1a	BMPR1A
Bmpr2	BMPR2
Bms1	BMS1
Bmt2	BMT2
Bmx	BMX
Bnip1	BNIP1
Bnip2	BNIP2
Bnip3	BNIP3
Bnip3l	BNIP3L
Boc	BOC
Bod1	BOD1L2
Bod1	BOD1
Bod1l	BOD1L1
Bok	BOK
Bola1	BOLA1
Bola2	BOLA2B
Bola2	BOLA2
Bola3	BOLA3
Boll	BOLL
Bop1	BOP1
Bora	BORA
Borcs5	BORCS5
Borcs6	BORCS6
Borcs7	BORCS7
Borcs7	BORCS7-ASMT
Borcs8	BORCS8-MEF2B
Borcs8	BORCS8
Bpgm	BPGM
Bphl	BPHL
Bpifc	BPIFC
Bpnt1	BPNT1
Bptf	BPTF
Braf	BRAF
Brap	BRAP
Brat1	BRAT1
Brca1	BRCA1
Brca2	BRCA2
Brcc3	BRCC3
Brd1	BRD1
Brd2	BRD2
Brd3	BRD3
Brd4	BRD4
Brd7	BRD7
Brd8	BRD8
Brd9	BRD9
Brdt	BRDT
Brf1	BRF1
Brf2	BRF2
Bri3	BRI3
Bri3bp	BRI3BP
Bricd5	BRICD5
Brip1	BRIP1
Brix1	BRIX1
Brk1	BRK1
Brms1	BRMS1
Brms1l	BRMS1L
Brox	BROX
Brpf1	BRPF1
Brpf3	BRPF3
Brsk1	BRSK1
Brwd1	BRWD1
Brwd3	BRWD3
Bscl2	BSCL2
Bsdc1	BSDC1
Bsg	BSG
Bsn	BSN
Bspry	BSPRY
Bst1	BST1
Bst2	BST2
Btaf1	BTAF1
Btbd1	BTBD1
Btbd10	BTBD10
Btbd11	BTBD11
Btbd16	BTBD16
Btbd19	BTBD19
Btbd2	BTBD2
Btbd3	BTBD3
Btbd6	BTBD6
Btbd7	BTBD7
Btbd8	BTBD8
Btbd9	BTBD9
Btc	BTC
Btd	BTD
Btf3	BTF3
Btf3l4	BTF3L4
Btg1	BTG1
Btg2	BTG2
Btg3	BTG3
Btk	BTK
Btla	BTLA
Btnl9	BTNL9
Btrc	BTRC
Bub1	BUB1
Bub1b	BUB1B-PAK6
Bub1b	BUB1B
Bub3	BUB3
Bud13	BUD13
Bud31	BUD31
Bysl	BYSL
Bzw1	BZW1
Bzw2	BZW2
C1d	C1D
C1galt1	C1GALT1
C1galt1c1	C1GALT1C1
C1qa	C1QA
C1qb	C1QB
C1qbp	C1QBP
C1qc	C1QC
C1ql1	C1QL1
C1qtnf4	C1QTNF4
C1qtnf6	C1QTNF6
C1ra	C1R
C1rl	C1RL
C2	C2
C2cd2	C2CD2
C2cd2l	C2CD2L
C2cd3	C2CD3
C2cd5	C2CD5
C3	C3
C330007P06Rik	CXorf56
C330018D20Rik	C5orf63
C3ar1	C3AR1
C4b	C4A
C4b	C4B
C530008M17Rik	KIAA1211
C5ar1	C5AR1
C5ar2	C5AR2
C77080	KIAA1522
C87436	C2orf42
C8g	C8G
Caap1	CAAP1
Cab39	CAB39
Cab39l	CAB39L
Cabin1	CABIN1
Cables1	CABLES1
Cables2	CABLES2
Cabp4	CABP4
Cabyr	CABYR
Cacfd1	CACFD1
Cachd1	CACHD1
Cacna1a	CACNA1A
Cacna1d	CACNA1D
Cacna1e	CACNA1E
Cacna1f	CACNA1F
Cacna1i	CACNA1I
Cacna1s	CACNA1S
Cacna2d1	CACNA2D1
Cacna2d2	CACNA2D2
Cacna2d4	CACNA2D4
Cacnb1	CACNB1
Cacnb2	CACNB2
Cacnb4	CACNB4
Cactin	CACTIN
Cacul1	CACUL1
Cacybp	CACYBP
Cad	CAD
Cadm1	CADM1
Cadm3	CADM3
Cadps2	CADPS2
Cage1	CAGE1
Calcoco1	CALCOCO1
Calcrl	CALCRL
Calhm2	CALHM2
Calm1	CALM1
Calm2	CALM2
Calm3	CALM3
Calml4	CALML4
Calr	CALR
Calr3	CALR3
Calu	CALU
Camk1	CAMK1
Camk1d	CAMK1D
Camk2a	CAMK2A
Camk2b	CAMK2B
Camk2g	CAMK2G
Camk2n1	CAMK2N1
Camk2n2	CAMK2N2
Camk4	CAMK4
Camkk1	CAMKK1
Camkk2	CAMKK2
Camkmt	CAMKMT
Caml	CAMLG
Camp	CAMP
Camsap1	CAMSAP1
Camsap2	CAMSAP2
Camsap3	CAMSAP3
Camta1	CAMTA1
Camta2	CAMTA2
Cand1	CAND1
Cand2	CAND2
Cant1	CANT1
Canx	CANX
Cap1	CAP1
Cap2	CAP2
Capg	CAPG
Capn1	CAPN1
Capn10	CAPN10
Capn11	CAPN11
Capn15	CAPN15
Capn2	CAPN2
Capn3	CAPN3
Capn5	CAPN5
Capn7	CAPN7
Capns1	CAPNS1
Caprin1	CAPRIN1
Caprin2	CAPRIN2
Capsl	CAPSL
Capza2	CAPZA2
Capzb	CAPZB
Car1	CA1
Car11	CA11
Car12	CA12
Car13	CA13
Car2	CA2
Car3	CA3
Car5a	CA5A
Car5b	CA5B
Car7	CA7
Car9	CA9
Card10	CARD10
Card11	CARD11
Card19	CARD19
Card6	CARD6
Card9	CARD9
Carf	CARF
Carhsp1	CARHSP1
Carm1	CARM1
Carmil1	CARMIL1
Carmil2	CARMIL2
Carnmt1	CARNMT1
Carns1	CARNS1
Cars	CARS
Cars2	CARS2
Casc3	CASC3
Casc4	CASC4
Casd1	CASD1
Cask	CASK
Caskin2	CASKIN2
Casp1	CARD17
Casp1	CASP1
Casp1	CARD16
Casp12	CASP12
Casp2	CASP2
Casp3	CASP3
Casp6	CASP6
Casp7	CASP7
Casp8	CASP8
Casp8ap2	CASP8AP2
Casp9	CASP9
Cass4	CASS4
Cast	CAST
Cat	CAT
Catsper2	CATSPER2
Catsper3	CATSPER3
Catsperg1	CATSPERG
Cav2	CAV2
Cbarp	CBARP
Cbfa2t2	CBFA2T2
Cbfa2t3	CBFA2T3
Cbfb	CBFB
Cbl	CBL
Cblb	CBLB
Cbll1	CBLL1
Cbr1	CBR1
Cbr3	CBR3
Cbr4	CBR4
Cbwd1	CBWD5
Cbwd1	CBWD3
Cbwd1	CBWD6
Cbx1	CBX1
Cbx2	CBX2
Cbx3	CBX3
Cbx4	CBX4
Cbx5	CBX5
Cbx6	CBX6
Cbx7	CBX7
Cbx8	CBX8
Cby1	CBY1
Cby3	CBY3
Cc2d1a	CC2D1A
Cc2d1b	CC2D1B
Cc2d2a	CC2D2A
Cc2d2b	CC2D2B
Ccar1	CCAR1
Ccar2	CCAR2
Ccdc102a	CCDC102A
Ccdc103	CCDC103
Ccdc106	CCDC106
Ccdc107	CCDC107
Ccdc112	CCDC112
Ccdc114	CCDC114
Ccdc115	CCDC115
Ccdc116	CCDC116
Ccdc117	CCDC117
Ccdc12	CCDC12
Ccdc120	CCDC120
Ccdc122	CCDC122
Ccdc124	CCDC124
Ccdc125	CCDC125
Ccdc126	CCDC126
Ccdc127	CCDC127
Ccdc130	CCDC130
Ccdc134	CCDC134
Ccdc137	CCDC137
Ccdc138	CCDC138
Ccdc14	CCDC14
Ccdc141	CCDC141
Ccdc142	CCDC142
Ccdc146	CCDC146
Ccdc148	CCDC148
Ccdc149	CCDC149
Ccdc15	CCDC15
Ccdc150	CCDC150
Ccdc155	CCDC155
Ccdc157	CCDC157
Ccdc158	CCDC158
Ccdc167	CCDC167
Ccdc17	CCDC17
Ccdc171	CCDC171
Ccdc173	CCDC173
Ccdc174	CCDC174
Ccdc18	CCDC18
Ccdc180	CCDC180
Ccdc181	CCDC181
Ccdc186	CCDC186
Ccdc189	CCDC189
Ccdc191	CCDC191
Ccdc22	CCDC22
Ccdc25	CCDC25
Ccdc28a	CCDC28A
Ccdc28b	CCDC28B
Ccdc30	CCDC30
Ccdc32	CCDC32
Ccdc34	CCDC34
Ccdc36	CCDC36
Ccdc39	CCDC39
Ccdc43	CCDC43
Ccdc47	CCDC47
Ccdc50	CCDC50
Ccdc51	CCDC51
Ccdc57	CCDC57
Ccdc58	CCDC58
Ccdc59	CCDC59
Ccdc6	CCDC6
Ccdc60	CCDC60
Ccdc61	CCDC61
Ccdc62	CCDC62
Ccdc66	CCDC66
Ccdc68	CCDC68
Ccdc69	CCDC69
Ccdc71	CCDC71
Ccdc71l	CCDC71L
Ccdc73	CCDC73
Ccdc74a	CCDC74B
Ccdc74a	CCDC74A
Ccdc77	CCDC77
Ccdc78	CCDC78
Ccdc8	CCDC8
Ccdc80	CCDC80
Ccdc82	CCDC82
Ccdc84	CCDC84
Ccdc85b	CCDC85B
Ccdc86	CCDC86
Ccdc88a	CCDC88A
Ccdc88b	CCDC88B
Ccdc88c	CCDC88C
Ccdc89	CCDC89
Ccdc9	CCDC9
Ccdc90b	CCDC90B
Ccdc91	CCDC91
Ccdc92	CCDC92
Ccdc93	CCDC93
Ccdc97	CCDC97
Cchcr1	CCHCR1
Ccl17	CCL17
Ccl2	CCL2
Ccl24	CCL24
Ccl27a	CCL27
Ccl3	CCL18
Ccl3	CCL3L3
Ccl3	CCL3L1
Ccl3	CCL3
Ccl4	CCL4
Ccl4	CCL4L2
Ccl5	CCL5
Ccl6	CCL15
Ccl6	CCL23
Ccl6	CCL15-CCL14
Ccl8	CCL8
Ccl9	CCL23
Ccl9	CCL15
Ccl9	CCL15-CCL14
Ccm2	CCM2
Ccm2l	CCM2L
Ccna2	CCNA2
Ccnb1	CCNB1
Ccnb2	CCNB2
Ccnc	CCNC
Ccnd1	CCND1
Ccnd2	CCND2
Ccnd3	CCND3
Ccndbp1	CCNDBP1
Ccne1	CCNE1
Ccne2	CCNE2
Ccnf	CCNF
Ccng1	CCNG1
Ccng2	CCNG2
Ccnh	CCNH
Ccni	CCNI
Ccnj	CCNJ
Ccnjl	CCNJL
Ccnk	CCNK
Ccnl1	CCNL1
Ccnl2	CCNL2
Ccno	CCNO
Ccnt1	CCNT1
Ccnt2	CCNT2
Ccny	CCNY
Ccnyl1	CCNYL1
Ccp110	CCP110
Ccpg1	CCPG1
Ccpg1os	C15orf65
Ccr1	CCR1
Ccr10	CCR10
Ccr2	CCR2
Ccr3	CCR3
Ccr5	CCR5
Ccr6	CCR6
Ccr7	CCR7
Ccr9	CCR9
Ccrl2	CCRL2
Ccs	CCS
Ccsap	CCSAP
Ccser1	CCSER1
Ccser2	CCSER2
Cct2	CCT2
Cct3	CCT3
Cct4	CCT4
Cct5	CCT5
Cct6a	CCT6A
Cct6b	CCT6B
Cct7	CCT7
Cct8	CCT8
Ccz1	CCZ1B
Ccz1	CCZ1
Cd101	CD101
Cd14	CD14
Cd151	CD151
Cd160	CD160
Cd163	CD163
Cd163l1	SCART1
Cd164	CD164
Cd177	CD177
Cd180	CD180
Cd19	CD19
Cd1d1	CD1D
Cd1d2	CD1D
Cd2	CD2
Cd200	CD200
Cd200r1	CD200R1
Cd200r1	CD200R1L
Cd200r3	CD200R1
Cd200r3	CD200R1L
Cd200r4	CD200R1
Cd200r4	CD200R1L
Cd209a	CD209
Cd209d	CD209
Cd209f	CLEC4M
Cd22	CD22
Cd226	CD226
Cd247	CD247
Cd248	CD248
Cd27	CD27
Cd274	CD274
Cd276	CD276
Cd28	CD28
Cd2ap	CD2AP
Cd2bp2	CD2BP2
Cd300a	CD300LD
Cd300a	CD300A
Cd300c	CD300C
Cd300c2	CD300C
Cd300e	CD300E
Cd300lb	CD300LB
Cd300ld	CD300LF
Cd300lf	CD300LF
Cd300lg	CD300LG
Cd302	CD302
Cd320	CD320
Cd33	CD33
Cd33	SIGLEC6
Cd34	CD34
Cd36	CD36
Cd37	CD37
Cd38	CD38
Cd3d	CD3D
Cd3e	CD3E
Cd3eap	CD3EAP
Cd3g	CD3G
Cd4	CD4
Cd40	CD40
Cd44	CD44
Cd46	CD46
Cd47	CD47
Cd48	CD48
Cd5	CD5
Cd52	CD52
Cd53	CD53
Cd55	CD55
Cd59a	CD59
Cd59b	CD59
Cd5l	CD5L
Cd6	CD6
Cd63	CD63
Cd69	CD69
Cd7	CD7
Cd72	CD72
Cd74	CD74
Cd79a	CD79A
Cd79b	CD79B
Cd80	CD80
Cd81	CD81
Cd82	CD82
Cd83	CD83
Cd84	CD84
Cd86	CD86
Cd8a	CD8A
Cd8b1	CD8B2
Cd8b1	CD8B
Cd9	CD9
Cd93	CD93
Cd96	CD96
Cd99l2	CD99L2
Cda	CDA
Cdadc1	CDADC1
Cdan1	CDAN1
Cdc123	CDC123
Cdc14a	CDC14A
Cdc14b	CDC14C
Cdc16	CDC16
Cdc20	CDC20
Cdc23	CDC23
Cdc25a	CDC25A
Cdc25b	CDC25B
Cdc25c	CDC25C
Cdc26	CDC26
Cdc27	CDC27
Cdc34	CDC34
Cdc34b	CDC34
Cdc37	CDC37
Cdc37l1	CDC37L1
Cdc40	CDC40
Cdc42	CDC42
Cdc42bpa	CDC42BPA
Cdc42bpb	CDC42BPB
Cdc42bpg	CDC42BPG
Cdc42ep2	CDC42EP2
Cdc42ep3	CDC42EP3
Cdc42ep4	CDC42EP4
Cdc42ep5	CDC42EP5
Cdc42se1	CDC42SE1
Cdc42se2	CDC42SE2
Cdc45	CDC45
Cdc5l	CDC5L
Cdc6	CDC6
Cdc7	CDC7
Cdc73	CDC73
Cdca2	CDCA2
Cdca3	CDCA3
Cdca4	CDCA4
Cdca5	CDCA5
Cdca7	CDCA7
Cdca7l	CDCA7L
Cdca8	CDCA8
Cdcp1	CDCP1
Cdh1	CDH1
Cdh15	CDH15
Cdh17	CDH17
Cdh24	CDH24
Cdip1	CDIP1
Cdipt	CDIPT
Cdk1	CDK1
Cdk10	CDK10
Cdk11b	CDK11B
Cdk11b	CDK11A
Cdk12	CDK12
Cdk13	CDK13
Cdk14	CDK14
Cdk16	CDK16
Cdk17	CDK17
Cdk18	CDK18
Cdk19	CDK19
Cdk2	CDK2
Cdk20	CDK20
Cdk2ap1	CDK2AP1
Cdk2ap2	CDK2AP2
Cdk4	CDK4
Cdk5	CDK5
Cdk5r1	CDK5R1
Cdk5rap1	CDK5RAP1
Cdk5rap2	CDK5RAP2
Cdk5rap3	CDK5RAP3
Cdk6	CDK6
Cdk7	CDK7
Cdk8	CDK8
Cdk9	CDK9
Cdkal1	CDKAL1
Cdkl1	CDKL1
Cdkl3	CDKL3
Cdkl5	CDKL5
Cdkn1a	CDKN1A
Cdkn1b	CDKN1B
Cdkn1c	CDKN1C
Cdkn2aip	CDKN2AIP
Cdkn2aipnl	CDKN2AIPNL
Cdkn2c	CDKN2C
Cdkn2d	CDKN2D
Cdkn3	CDKN3
Cdnf	CDNF
Cdon	CDON
Cdpf1	CDPF1
Cds1	CDS1
Cds2	CDS2
Cdt1	CDT1
Cdv3	CDV3
Cdyl	CDYL
Cdyl2	CDYL2
Ceacam1	PSG3
Ceacam1	PSG9
Ceacam1	PSG11
Ceacam1	PSG6
Ceacam1	PSG5
Ceacam1	PSG1
Ceacam1	CEACAM8
Ceacam1	PSG7
Ceacam1	PSG8
Ceacam1	PSG4
Ceacam1	CEACAM1
Ceacam1	CEACAM5
Ceacam1	PSG2
Ceacam1	CEACAM7
Ceacam1	CEACAM6
Ceacam1	CEACAM3
Ceacam16	CEACAM16
Cebpa	CEBPA
Cebpb	CEBPB
Cebpd	CEBPD
Cebpe	CEBPE
Cebpg	CEBPG
Cebpz	CEBPZ
Cebpzos	CEBPZOS
Cecr2	CECR2
Cela1	CELA1
Celf1	CELF1
Celf2	CELF2
Celf4	CELF4
Celsr1	CELSR1
Celsr2	CELSR2
Celsr3	CELSR3
Cenpa	CENPA
Cenpb	CENPB
Cenpc1	CENPC
Cenpe	CENPE
Cenpf	CENPF
Cenph	CENPH
Cenpi	CENPI
Cenpj	CENPJ
Cenpk	CENPK
Cenpl	CENPL
Cenpm	CENPM
Cenpn	CENPN
Cenpo	CENPO
Cenpp	CENPP
Cenpq	CENPQ
Cenpt	CENPT
Cenpu	CENPU
Cenpv	CENPV
Cenpw	CENPW
Cep104	CEP104
Cep112	CEP112
Cep120	CEP120
Cep126	CEP126
Cep128	CEP128
Cep131	CEP131
Cep135	CEP135
Cep152	CEP152
Cep162	CEP162
Cep164	CEP164
Cep170	CEP170
Cep170b	CEP170B
Cep19	CEP19
Cep192	CEP192
Cep250	CEP250
Cep290	CEP290
Cep295	CEP295
Cep350	CEP350
Cep41	CEP41
Cep44	CEP44
Cep55	CEP55
Cep57	CEP57
Cep57l1	CEP57L1
Cep63	CEP63
Cep68	CEP68
Cep70	CEP70
Cep72	CEP72
Cep76	CEP76
Cep78	CEP78
Cep83	CEP83
Cep85	CEP85
Cep85l	CEP85L
Cep89	CEP89
Cep95	CEP95
Cep97	CEP97
Cept1	CEPT1
Cercam	CERCAM
Cerk	CERK
Cerkl	CERKL
Cers2	CERS2
Cers4	CERS4
Cers5	CERS5
Cers6	CERS6
Ces1d	CES1
Ces2g	CES2
Cetn2	CETN2
Cetn3	CETN3
Cfap126	CFAP126
Cfap20	CFAP20
Cfap36	CFAP36
Cfap43	CFAP43
Cfap45	CFAP45
Cfap54	CFAP54
Cfap57	CFAP57
Cfap74	CFAP74
Cfap77	CFAP77
Cfap97	CFAP97
Cfc1	CFC1B
Cfc1	CFC1
Cfd	CFD
Cfdp1	CFDP1
Cfl1	CFL1
Cfl2	CFL2
Cflar	CFLAR
Cfp	CFP
Cggbp1	CGGBP1
Cgref1	CGREF1
Cgrrf1	CGRRF1
Chac1	CHAC1
Chac2	CHAC2
Chad	CHAD
Chadl	CHADL
Chaf1a	CHAF1A
Chaf1b	CHAF1B
Champ1	CHAMP1
Chchd1	CHCHD1
Chchd10	CHCHD10
Chchd2	CHCHD2
Chchd3	CHCHD3
Chchd4	CHCHD4
Chchd5	CHCHD5
Chchd6	CHCHD6
Chchd7	CHCHD7
Chd1	CHD1
Chd1l	CHD1L
Chd2	CHD2
Chd3	CHD3
Chd4	CHD4
Chd6	CHD6
Chd7	CHD7
Chd8	CHD8
Chd9	CHD9
Chdh	CHDH
Chek1	CHEK1
Chek2	CHEK2
Cherp	CHERP
Chfr	CHFR
Chga	CHGA
Chic1	CHIC1
Chic2	CHIC2
Chid1	CHID1
Chil1	CHI3L1
Chil3	CHIA
Chil4	CHIA
Chil5	CHIA
Chil6	CHIA
Chit1	CHIT1
Chka	CHKA
Chkb	CHKB
Chl1	CHL1
Chm	CHM
Chml	CHML
Chmp1a	CHMP1A
Chmp1b	CHMP1B
Chmp2a	CHMP2A
Chmp2b	CHMP2B
Chmp3	RNF103-CHMP3
Chmp3	CHMP3
Chmp4b	CHMP4B
Chmp5	CHMP5
Chmp6	CHMP6
Chmp7	CHMP7
Chn2	CHN2
Chordc1	CHORDC1
Chp1	CHP1
Chp2	CHP2
Chpf	CHPF
Chpf2	CHPF2
Chpt1	CHPT1
Chrac1	CHRAC1
Chrm3	CHRM3
Chrnb1	CHRNB1
Chrnb2	CHRNB2
Chst1	CHST1
Chst10	CHST10
Chst11	CHST11
Chst12	CHST12
Chst13	CHST13
Chst14	CHST14
Chst15	CHST15
Chst2	CHST2
Chst3	CHST3
Chsy1	CHSY1
Chtf18	CHTF18
Chtf8	CHTF8
Chtf8	DERPC
Chtop	CHTOP
Chuk	CHUK
Churc1	CHURC1
Ciao1	CIAO1
Ciapin1	CIAPIN1
Ciart	CIART
Cib1	CIB1
Cib2	CIB2
Cic	CIC
Cideb	CIDEB
Ciita	CIITA
Cilp2	CILP2
Cinp	CINP
Cipc	CIPC
Cir1	CIR1
Cirbp	CIRBP
Cisd1	CISD1
Cisd2	CISD2
Cish	CISH
Cit	CIT
Cited1	CITED1
Cited2	CITED2
Cited4	CITED4
Ciz1	CIZ1
Ckap2	CKAP2
Ckap2l	CKAP2L
Ckap4	CKAP4
Ckap5	CKAP5
Ckb	CKB
Cklf	CKLF
Ckm	CKM
Cks1b	CKS1B
Cks1brt	CKS1B
Cks2	CKS2
Clasp1	CLASP1
Clasp2	CLASP2
Clasrp	CLASRP
Clcc1	CLCC1
Clcf1	CLCF1
Clcn2	CLCN2
Clcn3	CLCN3
Clcn4	CLCN4
Clcn5	CLCN5
Clcn6	CLCN6
Clcn7	CLCN7
Cldn1	CLDN1
Cldn10	CLDN10
Cldn12	CLDN12
Cldn13	CLDN4
Cldn15	CLDN15
Cldn20	CLDN20
Cldn34c1	CLDN34
Cldn7	CLDN7
Cldnd1	CLDND1
Cldnd2	CLDND2
Clec10a	CLEC10A
Clec11a	CLEC11A
Clec12a	CLEC12A
Clec14a	CLEC14A
Clec16a	CLEC16A
Clec1a	CLEC1A
Clec1b	CLEC1B
Clec2d	CLEC2D
Clec2i	CLEC2D
Clec3b	CLEC3B
Clec4a1	CLEC4A
Clec4a2	CLEC4C
Clec4a3	CLEC4C
Clec4a4	CLEC4C
Clec4b1	CLEC4C
Clec4b2	CLEC4C
Clec4d	CLEC4D
Clec4e	CLEC4E
Clec4g	CLEC4G
Clec4n	CLEC6A
Clec5a	CLEC5A
Clec7a	CLEC7A
Clec9a	CLEC9A
Clgn	CLGN
Clic1	CLIC1
Clic5	CLIC5
Clint1	CLINT1
Clip1	CLIP1
Clip2	CLIP2
Clk1	CLK1
Clk2	CLK2
Clk3	CLK3
Clk4	CLK4
Clmn	CLMN
Clmp	CLMP
Cln3	CLN3
Cln5	CLN5
Cln6	CLN6
Cln8	CLN8
Clnk	CLNK
Clns1a	CLNS1A
Clock	CLOCK
Clp1	CLP1
Clpb	CLPB
Clpp	CLPP
Clptm1	CLPTM1
Clptm1l	CLPTM1L
Clpx	CLPX
Clspn	CLSPN
Clstn1	CLSTN1
Clstn3	CLSTN3
Clta	CLTA
Cltb	CLTB
Cltc	CLTC
Clu	CLU
Cluap1	CLUAP1
Cluh	CLUH
Clybl	CLYBL
Cma1	CMA1
Cmas	CMAS
Cmbl	CMBL
Cmc1	CMC1
Cmc2	CMC2
Cmc4	CMC4
Cmip	CMIP
Cmklr1	CMKLR1
Cmpk1	CMPK1
Cmpk2	CMPK2
Cmss1	CMSS1
Cmtm3	CMTM3
Cmtm4	CMTM4
Cmtm6	CMTM6
Cmtm7	CMTM7
Cmtm8	CMTM8
Cmtr1	CMTR1
Cmtr2	CMTR2
Cnbd2	CNBD2
Cnbp	CNBP
Cndp2	CNDP2
Cnep1r1	CNEP1R1
Cnga1	CNGA1
Cnga4	CNGA4
Cngb1	CNGB1
Cnih1	CNIH1
Cnih2	CNIH2
Cnih4	CNIH4
Cnksr3	CNKSR3
Cnmd	CNMD
Cnn2	CNN2
Cnn3	CNN3
Cnnm1	CNNM1
Cnnm2	CNNM2
Cnnm3	CNNM3
Cnnm4	CNNM4
Cnot1	CNOT1
Cnot10	CNOT10
Cnot11	CNOT11
Cnot3	CNOT3
Cnot4	CNOT4
Cnot6	CNOT6
Cnot6l	CNOT6L
Cnot7	CNOT7
Cnot8	CNOT8
Cnot9	CNOT9
Cnp	CNP
Cnppd1	CNPPD1
Cnpy3	CNPY3
Cnpy4	CNPY4
Cnr2	CNR2
Cnrip1	CNRIP1
Cnst	CNST
Cntd1	CNTD1
Cntln	CNTLN
Cntrl	CNTRL
Cntrob	CNTROB
Coa3	COA3
Coa4	COA4
Coa5	COA5
Coa6	COA6
Coa7	COA7
Coasy	COASY
Cobll1	COBLL1
Cog2	COG2
Cog3	COG3
Cog4	COG4
Cog5	COG5
Cog6	COG6
Cog7	COG7
Cog8	COG8
Coil	COIL
Col11a2	COL11A2
Col14a1	COL14A1
Col16a1	COL16A1
Col18a1	COL18A1
Col1a1	COL1A1
Col1a2	COL1A2
Col20a1	COL20A1
Col23a1	COL23A1
Col27a1	COL27A1
Col4a1	COL4A1
Col4a2	COL4A2
Col4a3bp	COL4A3BP
Col5a1	COL5A1
Col5a3	COL5A3
Colgalt1	COLGALT1
Colq	COLQ
Commd1	COMMD1
